STATION,AM_ENTERS,AM_EXITS,PM_ENTERS,PM_EXITS
104 ST,2441.0,74.0,1325.0,412.0
111 ST,6459.0,146.0,1475.0,727.0
125 ST,6472.0,5890.0,27231.0,21340.0
14 ST,3919.0,11802.0,27238.0,16013.0
145 ST,8715.0,3053.0,22567.0,19270.0
168 ST,7006.0,4972.0,24386.0,16477.0
175 ST,6414.0,792.0,10722.0,4876.0
181 ST,12955.0,1696.0,10408.0,8287.0
190 ST,1988.0,212.0,3883.0,1367.0
34 ST-PENN STA,23563.0,17055.0,62047.0,61351.0
42 ST-PORT AUTH,35123.0,7859.0,44529.0,38375.0
59 ST COLUMBUS,4615.0,17394.0,75556.0,63778.0
8 AV,4572.0,6636.0,24963.0,15301.0
80 ST,8396.0,336.0,3225.0,1923.0
88 ST,6117.0,135.0,2051.0,958.0
AQUEDUCT N.COND,2137.0,308.0,596.0,2098.0
AQUEDUCT RACETR,589.0,27.0,1677.0,190.0
BEACH 105 ST,515.0,152.0,288.0,183.0
BEACH 25 ST,2224.0,375.0,1794.0,1081.0
BEACH 36 ST,1124.0,135.0,778.0,582.0
BEACH 44 ST,783.0,366.0,604.0,472.0
BEACH 60 ST,2526.0,303.0,1705.0,1138.0
BEACH 67 ST,2438.0,384.0,1856.0,1247.0
BEACH 90 ST,1930.0,184.0,626.0,681.0
BEACH 98 ST,934.0,302.0,600.0,421.0
BROAD CHANNEL,832.0,52.0,194.0,94.0
BROADWAY JCT,5493.0,2685.0,7839.0,6437.0
CANAL ST,1013.0,4971.0,16627.0,17139.0
CHAMBERS ST,2069.0,5004.0,27050.0,16564.0
DYCKMAN ST,8185.0,96.0,6530.0,206.0
EUCLID AV,7664.0,931.0,9538.0,2686.0
FAR ROCKAWAY,4504.0,1453.0,3784.0,3219.0
FRANKLIN AV,4470.0,2992.0,6058.0,6578.0
FULTON ST,20936.0,31004.0,61935.0,37897.0
GRANT AV,4793.0,628.0,5241.0,3883.0
HIGH ST,892.0,2247.0,8389.0,10522.0
HOWARD BCH JFK,2545.0,2294.0,3535.0,6195.0
HOYT-SCHER,1254.0,2107.0,11437.0,9335.0
INWOOD-207 ST,11800.0,1149.0,8164.0,3854.0
JAY ST-METROTEC,3850.0,3991.0,44998.0,23313.0
NOSTRAND AV,5011.0,2436.0,15877.0,9238.0
OZONE PK LEFFRT,10129.0,1136.0,5161.0,4101.0
PARK PLACE,94.0,879.0,3032.0,2588.0
ROCKAWAY BLVD,12873.0,1655.0,6355.0,2804.0
ROCKAWAY PARK B,1142.0,476.0,626.0,649.0
TIMES SQ-42 ST,12561.0,17509.0,73965.0,84149.0
UTICA AV,16992.0,4222.0,14769.0,11402.0
W 4 ST-WASH SQ,8866.0,16294.0,38335.0,38425.0
WORLD TRADE CTR,2530.0,3438.0,13485.0,10951.0
